label,youtube_id,time_start,time_end,split,ntu_index
bookbinding,-43sC7j9Qa0,156,166,train,30
bookbinding,-60KGw7ow0k,198,208,train,30
bookbinding,-6xAzSJcp_A,41,51,train,30
bookbinding,04vt8YfT7XM,333,343,train,30
bookbinding,0BOzdhC4WJs,351,361,train,30
bookbinding,0CiIaDkxX9M,147,157,train,30
bookbinding,0UuzBKzUQw8,474,484,train,30
bookbinding,0Z48n13_TAM,63,73,train,30
bookbinding,0bcPHSkki4I,370,380,train,30
bookbinding,0jGzZh482P8,265,275,train,30
bookbinding,10JD7Zj_7J8,77,87,train,30
bookbinding,11dU4SaFA-w,815,825,train,30
bookbinding,17_43haGOf8,586,596,train,30
bookbinding,1EDsR_Qgm0M,293,303,train,30
bookbinding,1IMWCMxxSVU,1047,1057,train,30
bookbinding,1RU9q4lx3go,597,607,train,30
bookbinding,1fLI-0NsMgg,182,192,train,30
bookbinding,1goca_GPniA,89,99,train,30
bookbinding,1tIBysElEBE,39,49,train,30
bookbinding,1tLxKn0Wa2I,888,898,train,30
bookbinding,23HXVAwRjG0,39,49,train,30
bookbinding,273F_L2VRo8,166,176,train,30
bookbinding,27Vw4slHE_E,30,40,train,30
bookbinding,2L7biV1djJc,1133,1143,train,30
bookbinding,2QDv9G-5XX8,74,84,train,30
bookbinding,2Skx72kUg7A,86,96,train,30
bookbinding,2_srxC9uOI8,74,84,train,30
bookbinding,2o_Bgm1MsP0,118,128,train,30
bookbinding,2tZXM5312d4,94,104,train,30
bookbinding,2vO8ZyFISFk,60,70,train,30
bookbinding,2zJlmRiELlM,808,818,train,30
bookbinding,33ER7CBOcME,267,277,train,30
bookbinding,36L4rDCt6hI,167,177,train,30
bookbinding,3UkhT9taB5o,89,99,train,30
bookbinding,3VccalarFTU,980,990,train,30
bookbinding,3aoUDSS02TU,213,223,train,30
bookbinding,3e6ILIUot8g,19,29,train,30
bookbinding,3l0QlL70BVk,154,164,train,30
bookbinding,3lwirYjkBmk,603,613,train,30
bookbinding,3nLHvuWnQBE,54,64,train,30
bookbinding,3xOELSkEWGo,194,204,train,30
bookbinding,3xY5bJ2nQR0,429,439,train,30
bookbinding,3zzuWfnEvb8,28,38,train,30
bookbinding,44c-NQ-7dfA,182,192,train,30
bookbinding,45OT0LXHdTU,55,65,train,30
bookbinding,467OwJFHBdU,39,49,train,30
bookbinding,46fxu1EgVV4,541,551,train,30
bookbinding,4BMSrm0QOt0,1,11,train,30
bookbinding,4JsQpQwHp9Y,11,21,train,30
bookbinding,4dZAf7fhW88,371,381,train,30
bookbinding,4i7Lh-5KRhE,359,369,train,30
bookbinding,4oIF6BsB9CM,134,144,train,30
bookbinding,4vkLH9vGHak,120,130,train,30
bookbinding,514HJgM5F_k,18,28,train,30
bookbinding,556AnIdBFyU,37,47,train,30
bookbinding,56E-e8wzAkY,182,192,train,30
